term,n_posts,avg_comments,avg_tag_rate,avg_pos_rate,avg_eng_score
use,18,292.8333333333333,0.4347042143410216,0.46026754194941993,0.442373212623541
treehut,99,71.84848484848484,0.3037722844264941,0.5451269744156212,0.3761786914232322
target,21,112.95238095238095,0.23275097188890292,0.6456598619406501,0.35662363890442705
selfcare,54,115.42592592592592,0.2839630202697126,0.5245643210277543,0.3561434104971251
walmart,20,47.3,0.22489796967738146,0.47468872222548697,0.29983519544181303
smooth,31,85.29032258064517,0.13588679748212534,0.6384993360482853,0.28667055905197336
treehutcollection,77,85.3896103896104,0.17859474131282319,0.5145588660843108,0.2793839787442695
just,21,12.619047619047619,0.18128538899546337,0.5043917493615273,0.2782172971052826
routine,54,9.87037037037037,0.13438794321147263,0.5954500914405435,0.2727065876801939
today,43,81.32558139534883,0.13847961294999755,0.5609964652794186,0.2652346686488239
vanilla,37,6.243243243243243,0.12904037939905946,0.5388529865574342,0.2519841615465719
soft,28,40.07142857142857,0.11773035784137516,0.5352971341527939,0.24300039073480076
pre,22,11.772727272727273,0.14245934663891321,0.47704063222639076,0.24283373231515648
shop,42,82.78571428571429,0.11849501518582943,0.5324808795393408,0.24269077449188287
polish,19,11.578947368421053,0.14740906803803985,0.4602575741568734,0.24126361987368994
collection,37,118.48648648648648,0.13635717444869963,0.48310365957822454,0.2403811199875571
scrub,45,9.88888888888889,0.11428409296218353,0.47866858819807195,0.22359944153295008
summer,22,15.272727272727273,0.045454545454545456,0.6360298935393875,0.22262714987999813
new,23,9.782608695652174,0.10876326298803739,0.45289464432204385,0.21200267738823927
skin,70,66.71428571428571,0.08519181410059887,0.5048597605015603,0.21109219802088733
